Crop,Temperature (°C),Humidity (%),Rainfall (mm),Soil Type,Soil pH,Soil Moisture (%),Wind Speed (km/h),Solar Radiation (W/m²),Weather Condition,Precipitation (mm),Evapotranspiration (ET),Growth Stage,Kc,Water Requirement (mm/day)
Wheat,18.7,62.9,38.9,Loamy,7.4,22.2,12.3,274.6,Partly Cloudy,12.2,1.75,Germination,0.35,3.15
Wheat,19.1,67.2,47.7,Clay Loam,6.6,24.4,10.8,284.1,Sunny,2.4,1.55,Vegetative,0.75,1.95
Wheat,21.5,64.9,42,Loamy,6.2,29.4,13.1,279.2,Sunny,2.7,1.84,Flowering,1.15,2.29
Wheat,22,61.8,34.1,Loamy,6.3,29.9,14.3,218.2,Overcast,5.9,1.95,Fruiting,0.25,2.74
Wheat,20,65.1,45.5,Clay Loam,6.7,29.3,7.2,201,Sunny,7.9,1.15,Germination,0.35,2.05
Wheat,20.1,61.5,29.9,Clay Loam,7.1,26.9,11.4,252.4,Overcast,2.7,1.67,Vegetative,0.75,2.11
Wheat,19.9,51.2,21.2,Loamy,7.4,22.9,9,265.1,Partly Cloudy,10.3,1.59,Flowering,1.15,2.78
Wheat,21.4,63.4,34.1,Loamy,6.1,22.9,5.6,282,Sunny,6.5,1.11,Fruiting,0.25,1.87
Wheat,19.5,68.1,26.8,Loamy,6.3,22.8,13.9,257,Sunny,7.1,1.83,Germination,0.35,2.72
Wheat,20.9,62,21.3,Loamy,6.7,26.9,8.6,250.4,Overcast,12.9,1.4,Vegetative,0.75,2.83
Wheat,20,58.6,43.6,Clay Loam,6.9,23.1,13.7,268.9,Overcast,13.8,1.96,Flowering,1.15,3.54
Wheat,19.8,63.3,42.8,Loamy,6.5,24.8,6.3,201.2,Partly Cloudy,14.2,1.08,Fruiting,0.25,2.61
Wheat,23.2,56.7,40.7,Clay Loam,7.5,25.7,7.9,231.3,Sunny,9.5,1.41,Germination,0.35,2.5
Wheat,20.8,62.5,45.5,Clay Loam,7.2,23.7,14.5,263,Sunny,12.1,1.99,Vegetative,0.75,3.4
Wheat,22.3,65.7,35.7,Clay Loam,7.2,25.7,10.4,215,Overcast,9,1.5,Flowering,1.15,2.55
Wheat,19.5,58.2,27.5,Loamy,7.2,23.1,14.5,246.7,Sunny,10.8,2.01,Fruiting,0.25,3.29
Wheat,18.3,65.2,44.9,Clay Loam,6.9,24.4,8,290.2,Sunny,1,1.29,Germination,0.35,1.52
Wheat,20.2,58.2,21.9,Loamy,6.8,26.1,11.3,284,Overcast,4.1,1.75,Vegetative,0.75,2.34
Wheat,21.7,57.5,40.7,Loamy,6.5,29.5,13.2,231.9,Overcast,13.3,1.91,Flowering,1.15,3.43
Wheat,19.8,60.5,43.6,Loamy,6.3,23.8,5,258.5,Overcast,12.5,1.05,Fruiting,0.25,2.41
Wheat,21,67,40.1,Loamy,7,26.3,11.9,202.5,Overcast,11.6,1.61,Germination,0.35,2.93
Wheat,22.4,63.4,41.8,Loamy,6.4,27,12,213.4,Partly Cloudy,3.4,1.69,Vegetative,0.75,2.2
Wheat,21.7,61.9,24.2,Clay Loam,7.3,28.3,5.6,202.7,Sunny,3,1.05,Flowering,1.15,1.46
Wheat,22.6,52.5,47.6,Loamy,7.4,26.7,13.5,222.7,Partly Cloudy,10.3,2.01,Fruiting,0.25,3.24
Wheat,19.2,54.4,41.9,Clay Loam,7.3,29.8,11.5,298.3,Sunny,5.3,1.82,Germination,0.35,2.53
Wheat,22.8,58.1,41.3,Clay Loam,6.2,22.5,9.9,256.8,Partly Cloudy,9.6,1.62,Vegetative,0.75,2.74
Wheat,20.6,67,30,Loamy,6.9,29.7,13.2,242.2,Sunny,0.8,1.77,Flowering,1.15,2.03
Wheat,20.7,54.5,38.3,Clay Loam,7.2,25.5,12.8,245.1,Overcast,11.6,1.91,Fruiting,0.25,3.26
Wheat,20.4,68.5,23.2,Clay Loam,7,26.6,6.3,250.6,Overcast,12.8,1.07,Germination,0.35,2.46
Wheat,23.5,58.8,22.4,Clay Loam,7.2,25.5,13.5,229.8,Sunny,1.1,1.94,Vegetative,0.75,2.24
Wheat,20.9,51.6,31.4,Loamy,7,29.8,13.2,293,Partly Cloudy,11.8,2.06,Flowering,1.15,3.45
Wheat,21.3,68.8,36.5,Loamy,6.9,22.8,12,209.4,Sunny,6.5,1.61,Fruiting,0.25,2.42
Wheat,23.7,61.6,43.3,Clay Loam,6.7,25.2,12.6,203.5,Overcast,2.3,1.78,Germination,0.35,2.19
Wheat,19.4,69.9,20.5,Clay Loam,6.9,25.8,9.5,216.3,Sunny,9.4,1.33,Vegetative,0.75,2.4
Wheat,21.3,55.4,27.4,Clay Loam,6,25.9,7.3,293.9,Sunny,8,1.42,Flowering,1.15,2.36
Wheat,20.1,63,33.1,Clay Loam,6.6,27.4,13.6,219.3,Sunny,8.9,1.84,Fruiting,0.25,2.91
Wheat,22.1,59.1,43,Clay Loam,7.5,28.9,12.8,224.5,Overcast,13.5,1.84,Germination,0.35,3.37
Wheat,18,62.4,45.8,Loamy,7,28.6,12.5,294.9,Sunny,9.7,1.78,Vegetative,0.75,2.93
Wheat,19.5,51.9,46.6,Loamy,6.9,25.4,6.2,255.1,Partly Cloudy,8,1.28,Flowering,1.15,2.21
Wheat,24,66.3,27.1,Loamy,7.5,27.5,7.8,247.7,Overcast,0.3,1.29,Fruiting,0.25,1.45
Wheat,18.7,51,40.2,Clay Loam,7.3,22.2,9.9,251.1,Sunny,6.8,1.64,Germination,0.35,2.48
Wheat,22.9,52.6,24.7,Clay Loam,7.2,24.2,6.8,286.5,Overcast,9.4,1.43,Vegetative,0.75,2.51
Wheat,22.5,50.5,44.2,Clay Loam,7.2,25.4,13.7,245.9,Sunny,5.2,2.09,Flowering,1.15,2.82
Wheat,18.7,69.6,23.8,Loamy,6.1,27.6,5.8,256.4,Sunny,8.8,0.99,Fruiting,0.25,1.97
Wheat,23.5,63.8,33.9,Loamy,6.2,25,7.7,206.6,Partly Cloudy,4,1.26,Germination,0.35,1.79
